,l_names,l_team18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train,l_pos18__QB,l_pos18__RB,l_pos18__TE,l_pos18__WR,PointsPerGame,QBPassing
70,Chris Hogan,Car,16,116.47,100.0,18.0,NE,WR,9.0,127.97,0.91000003,68.0,211.0,0.0,0.0,0.0,17.0,0.0,1.0,34.0,439.0,5.0,22.0,0.0,0.0,0.0,0.0,176.0,1.0,11,21,192.3,131.39999,22.700001,317.10001,20.4,0.5955869,0,0,0,1,14.21888888888889,0.0
72,C.J. Uzomah,Cin,16,117.27,,,Cin,TE,14.0,30.129998999999998,0.0,1960.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,92.0,1.0,6.0,0.0,0.0,0.0,0.0,,,22,26,195.10001,85.400002,18.1,339.10001,21.799999,0.63489896,0,0,1,0,2.1521427857142856,0.0
73,Alfred Blue,Jax,16,118.47,,,Hou,RB,11.0,54.799999,0.0,1967.0,351.0,0.0,0.0,0.0,262.0,1.0,10.0,7.0,54.0,0.0,4.0,0.0,0.0,0.0,0.0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.99445724,0,1,0,0,4.981818090909091,0.0
74,Seth Roberts,Bal,15,119.43,,,Oak,WR,15.0,99.33000200000001,0.0,1933.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,455.0,1.0,22.0,0.0,0.0,0.0,2.0,,,9,24,189.39999,116.0,24.700001,325.10001,18.9,0.74976772,0,0,0,1,6.622000133333334,0.0
76,Devontae Booker,Den,16,120.03,,,Den,RB,13.0,131.83,0.22,175.0,206.0,0.0,0.0,0.0,299.0,1.0,11.0,30.0,275.0,0.0,13.0,276.0,0.0,0.0,1.0,,,6,19,208.3,115.8,18.1,290.0,23.9,0.57542151,0,1,0,0,10.140769230769232,0.0
81,Theo Riddick,Den,14,127.7,83.0,6.0,Det,RB,16.0,168.2,0.25,159.0,145.0,0.0,0.0,0.0,286.0,3.0,11.0,53.0,444.0,2.0,20.0,0.0,0.0,0.0,1.0,187.0,4.0,6,19,208.3,115.8,18.1,290.0,23.9,0.66549015,0,1,0,0,10.5125,0.0
82,Corey Clement,Phi,11,130.7,,,Phi,RB,16.0,114.2,0.16,192.0,225.0,0.0,0.0,0.0,321.0,4.0,19.0,10.0,123.0,2.0,6.0,49.0,0.0,1.0,0.0,,,19,1,233.60001,132.2,28.6,306.5,18.4,0.74720538,0,1,0,0,7.1375,0.0
83,Jordan Reed,Was,13,131.2,85.0,5.0,Was,TE,6.0,67.07,0.91000003,99.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,211.0,2.0,10.0,0.0,0.0,0.0,0.0,35.0,16.0,26,12,234.39999,90.5,21.4,347.89999,24.299999,0.71901435,0,0,1,0,11.178333333333333,0.0
85,Frank Gore,Buf,14,133.47,173.0,1.0,Mia,RB,16.0,219.42999,0.12,252.0,80.0,0.0,0.0,0.0,961.0,3.0,49.0,29.0,245.0,1.0,9.0,0.0,0.0,0.0,0.0,127.0,11.0,30,29,176.60001,126.1,18.9,355.10001,22.4,0.79083127,0,1,0,0,13.714374375,0.0
86,Leonard Fournette,Jax,8,139.23,32.0,46.0,Jax,RB,13.0,265.13,1.0,26.0,38.0,0.0,0.0,0.0,1040.0,9.0,46.0,36.0,302.0,1.0,15.0,0.0,0.0,0.0,0.0,29.0,28.0,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.7795681999999999,0,1,0,0,20.394615384615385,0.0
87,O.J. Howard,TB,10,139.67,88.0,7.0,TB,TE,14.0,117.8,0.73000002,107.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,432.0,6.0,19.0,0.0,0.0,0.0,2.0,189.0,2.0,31,22,272.89999,90.599998,20.9,378.10001,23.9,0.74843955,0,0,1,0,8.414285714285715,0.0
88,Donte Moncrief,Pit,16,144.23,,,Jax,WR,12.0,90.07,0.079999998,233.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,391.0,2.0,22.0,0.0,0.0,0.0,0.0,150.0,5.0,15,4,273.79999,104.2,25.4,306.89999,19.299999,0.91805083,0,0,0,1,7.5058333333333325,0.0
89,LeSean McCoy,Buf,14,145.27,58.0,25.0,Buf,RB,16.0,319.67001,0.98000002,55.0,12.0,0.0,0.0,0.0,1138.0,6.0,56.0,59.0,448.0,2.0,23.0,0.0,0.0,0.0,1.0,30.0,50.0,30,29,176.60001,126.1,18.9,355.10001,22.4,0.90191412,0,1,0,0,19.979375625,0.0
90,Jamaal Williams,GB,16,146.89999,153.0,3.0,GB,RB,16.0,174.07001,0.66000003,119.0,134.0,0.0,0.0,0.0,556.0,4.0,32.0,25.0,262.0,2.0,12.0,0.0,0.0,0.0,0.0,191.0,5.0,7,9,197.89999,107.8,20.0,348.89999,24.0,0.63413823,0,1,0,0,10.879375625,0.0
91,Joe Flacco,Den,9,147.10001,192.0,1.0,Bal,QB,16.0,186.03999,0.07,228.0,116.0,3141.0,18.0,13.0,54.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,18.0,6,19,208.3,115.8,18.1,290.0,23.9,0.81472951,1,0,0,0,11.627499375,18318312.0
92,Devin Funchess,Ind,14,147.60001,131.0,9.0,Car,WR,16.0,223.0,0.89999998,73.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,840.0,8.0,40.0,0.0,0.0,0.0,0.0,,,4,17,180.8,103.8,16.4,367.10001,25.299999,0.87889218,0,0,0,1,13.9375,0.0
94,Doug Martin,Oak,16,151.03,221.0,1.0,Oak,RB,11.0,94.199997,0.15000001,236.0,265.0,0.0,0.0,0.0,406.0,3.0,21.0,9.0,84.0,0.0,6.0,0.0,0.0,1.0,1.0,179.0,10.0,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.6155495,0,1,0,0,8.56363609090909,0.0
96,Ryan Tannehill,Ten,11,154.86,122.0,5.0,Mia,QB,13.0,198.2,0.079999998,174.0,671.0,2995.0,19.0,12.0,164.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,,17,5,199.39999,114.6,20.9,328.0,22.299999,0.92520809,1,0,0,0,15.246153846153845,20542705.0
97,Chester Rogers,Ind,16,155.42999,,,Ind,WR,11.0,74.230003,0.0099999998,1945.0,302.0,0.0,0.0,0.0,8.0,0.0,0.0,23.0,284.0,1.0,15.0,85.0,0.0,0.0,0.0,,,4,17,180.8,103.8,16.4,367.10001,25.299999,0.82333666,0,0,0,1,6.748182090909091,0.0
98,Kenny Stills,Mia,15,155.59,197.0,1.0,Mia,WR,16.0,194.47,0.27000001,118.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,847.0,6.0,36.0,0.0,0.0,0.0,2.0,226.0,1.0,14,20,220.89999,86.800003,17.6,335.70001,24.6,0.92294019,0,0,0,1,12.154375,0.0
99,Cooper Kupp,LAR,8,156.63,118.0,9.0,LAR,WR,15.0,199.92999,0.86000001,78.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,869.0,5.0,42.0,0.0,0.0,0.0,1.0,211.0,1.0,1,10,239.39999,122.1,29.9,339.60001,20.6,0.74804264,0,0,0,1,13.328666,0.0
100,Isaiah Crowell,Oak,13,156.63,115.0,6.0,NYJ,RB,16.0,180.42999,0.75999999,82.0,123.0,0.0,0.0,0.0,853.0,2.0,38.0,28.0,182.0,0.0,9.0,0.0,0.0,1.0,1.0,76.0,31.0,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.52141476,0,1,0,0,11.276874375,0.0
101,David Njoku,Cle,16,157.60001,96.0,6.0,Cle,TE,16.0,106.83,0.75999999,100.0,235.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,386.0,4.0,17.0,0.0,0.0,0.0,0.0,,,18,14,201.8,107.1,14.6,328.10001,25.6,0.86819887,0,0,1,0,6.676875,0.0
102,John Brown,Buf,16,158.07001,183.0,3.0,Bal,WR,10.0,81.93,0.059999999000000005,243.0,288.0,0.0,0.0,0.0,10.0,0.0,1.0,21.0,299.0,3.0,15.0,0.0,0.0,0.0,0.0,174.0,4.0,30,29,176.60001,126.1,18.9,355.10001,22.4,0.72394723,0,0,0,1,8.193000000000001,0.0
103,Mike Davis,Chi,15,158.67,,,Sea,RB,6.0,65.730003,0.0099999998,1893.0,325.0,0.0,0.0,0.0,240.0,0.0,12.0,15.0,131.0,0.0,6.0,0.0,0.0,0.0,0.0,,,28,13,175.7,111.8,16.5,319.10001,20.0,0.79554641,0,1,0,0,10.955000499999999,0.0
104,Doug Baldwin,Sea,13,163.2,34.0,30.0,Sea,WR,16.0,250.27,0.99000001,37.0,47.0,0.0,0.0,0.0,8.0,0.0,0.0,75.0,991.0,8.0,44.0,0.0,0.0,1.0,0.0,66.0,36.0,12,30,228.60001,101.8,22.9,323.20001,20.799999,0.89250743,0,0,0,1,15.641875,0.0
107,DeSean Jackson,Phi,12,166.89999,223.0,1.0,TB,WR,14.0,159.33,0.27000001,151.0,165.0,0.0,0.0,0.0,38.0,0.0,1.0,50.0,668.0,3.0,36.0,0.0,0.0,0.0,0.0,91.0,18.0,19,1,233.60001,132.2,28.6,306.5,18.4,0.62168086,0,0,0,1,11.380714285714287,0.0
108,Taylor Gabriel,Chi,16,166.97,,,Chi,WR,16.0,91.099998,0.02,1892.0,269.0,0.0,0.0,0.0,49.0,0.0,3.0,33.0,378.0,1.0,17.0,0.0,0.0,0.0,0.0,209.0,3.0,28,13,175.7,111.8,16.5,319.10001,20.0,0.80043542,0,0,0,1,5.693749875,0.0
109,Kyle Rudolph,Min,16,170.27,77.0,8.0,Min,TE,16.0,188.47,0.98000002,80.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,532.0,8.0,32.0,0.0,0.0,0.0,0.0,52.0,12.0,23,28,234.60001,122.3,23.9,275.89999,15.8,0.8343448,0,0,1,0,11.779375,0.0
111,Allen Robinson II,Chi,13,172.17,6.0,20.0,Chi,WR,1.0,3.1300001,0.94999999,46.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,87.0,17.0,28,13,175.7,111.8,16.5,319.10001,20.0,0.69962949,0,0,0,1,3.1300001,0.0
113,A.J. Green,Cin,9,175.27,53.0,40.0,Cin,WR,16.0,261.87,1.0,16.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1078.0,8.0,55.0,0.0,0.0,0.0,2.0,36.0,45.0,22,26,195.10001,85.400002,18.1,339.10001,21.799999,0.96717429,0,0,0,1,16.366875,0.0
114,Dalvin Cook,Min,11,178.83,33.0,43.0,Min,RB,4.0,76.400002,1.0,19.0,297.0,0.0,0.0,0.0,354.0,2.0,15.0,11.0,90.0,0.0,3.0,0.0,0.0,0.0,1.0,21.0,27.0,23,28,234.60001,122.3,23.9,275.89999,15.8,0.75785357,0,1,0,0,19.1000005,0.0
115,Austin Hooper,Atl,16,179.0,169.0,2.0,Atl,TE,16.0,126.07,0.23999999,165.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,526.0,3.0,18.0,0.0,0.0,0.0,0.0,142.0,3.0,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.9269138000000001,0,0,1,0,7.879375,0.0
116,Cole Beasley,Buf,16,179.7,,,Dal,WR,15.0,110.83,0.079999998,306.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,314.0,4.0,20.0,19.0,0.0,0.0,0.0,224.0,1.0,30,29,176.60001,126.1,18.9,355.10001,22.4,0.71184307,0,0,0,1,7.3886666666666665,0.0
117,Cordarrelle Patterson,Chi,15,182.57001,,,NE,WR,16.0,141.5,0.029999999,1923.0,190.0,0.0,0.0,0.0,121.0,2.0,3.0,31.0,309.0,0.0,13.0,538.0,0.0,0.0,0.0,156.0,1.0,28,13,175.7,111.8,16.5,319.10001,20.0,0.71357405,0,0,0,1,8.84375,0.0
119,Zay Jones,Buf,16,190.47,,,Buf,WR,15.0,83.07,0.029999999,1961.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,316.0,2.0,19.0,0.0,0.0,0.0,0.0,93.0,13.0,30,29,176.60001,126.1,18.9,355.10001,22.4,0.99113184,0,0,0,1,5.537999999999999,0.0
122,Marcus Mariota,Ten,14,198.22,74.0,22.0,Ten,QB,15.0,222.48,0.74000001,95.0,78.0,3232.0,13.0,15.0,312.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,46.0,17,5,199.39999,114.6,20.9,328.0,22.299999,0.69038182,1,0,0,0,14.831999999999999,7100704.0
123,Austin Ekeler,LAC,14,198.33,112.0,1.0,LAC,RB,16.0,132.10001,0.09000000400000001,215.0,203.0,0.0,0.0,0.0,260.0,2.0,12.0,27.0,279.0,3.0,12.0,85.0,0.0,0.0,2.0,,,5,23,276.89999,99.699997,22.200001,328.39999,17.0,0.86360121,0,1,0,0,8.256250625,0.0
124,Golden Tate,NYG,15,201.2,3.0,28.0,Det,WR,16.0,248.37,0.95999998,35.0,50.0,0.0,0.0,0.0,22.0,0.0,1.0,92.0,1003.0,5.0,44.0,23.0,0.0,1.0,1.0,74.0,24.0,29,25,217.39999,96.800003,15.4,373.20001,24.299999,0.64754987,0,0,0,1,15.523125,0.0
125,Lamar Miller,Hou,14,203.17,81.0,18.0,Hou,RB,16.0,242.60001,0.92000002,59.0,57.0,0.0,0.0,0.0,888.0,3.0,43.0,36.0,327.0,3.0,17.0,0.0,0.0,0.0,0.0,101.0,26.0,27,32,204.89999,115.1,21.1,346.60001,27.299999,0.9103145,0,1,0,0,15.162500625,0.0
126,Carson Wentz,Phi,11,203.53,21.0,30.0,Phi,QB,13.0,307.73999,0.99000001,70.0,16.0,3296.0,33.0,7.0,299.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,111.0,28.0,19,1,233.60001,132.2,28.6,306.5,18.4,0.68092209,1,0,0,0,23.67230692307692,118448352.0
127,Aaron Jones,GB,12,203.53,146.0,3.0,GB,RB,12.0,94.269997,0.74000001,105.0,264.0,0.0,0.0,0.0,448.0,4.0,21.0,9.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,,,7,9,197.89999,107.8,20.0,348.89999,24.0,0.85688269,0,1,0,0,7.855833083333334,0.0
128,Corey Davis,Ten,16,210.89999,67.0,16.0,Ten,WR,11.0,74.0,0.88999999,52.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,375.0,0.0,17.0,0.0,0.0,0.0,1.0,222.0,1.0,17,5,199.39999,114.6,20.9,328.0,22.299999,0.83906645,0,0,0,1,6.7272727272727275,0.0
