,l_names,l_team18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train,l_pos18__QB,l_pos18__RB,l_pos18__TE,l_pos18__WR,PointsPerGame,QBPassing
149,Mitchell Trubisky,Chi,14,286.01999,76.0,17.0,Chi,QB,12.0,142.52,0.19,144.0,186.0,2193.0,7.0,7.0,248.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,134.0,4.0,28,13,175.7,111.8,16.5,319.10001,20.0,0.8219558000000001,1,0,0,0,11.876666666666667,752199.0
150,David Johnson,Ari,16,296.73001,17.0,59.0,Ari,RB,1.0,13.77,1.0,3.0,493.0,0.0,0.0,0.0,23.0,0.0,0.0,6.0,67.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,60.0,25,27,227.5,86.599998,18.4,310.89999,22.6,0.93226188,0,1,0,0,13.77,0.0
151,Keenan Allen,LAC,16,300.73001,20.0,42.0,LAC,WR,16.0,321.76999,1.0,13.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,102.0,1393.0,6.0,74.0,0.0,0.0,0.0,0.0,40.0,22.0,5,23,276.89999,99.699997,22.200001,328.39999,17.0,0.62218922,0,0,0,1,20.110624375,0.0
152,Stefon Diggs,Min,15,302.26999,36.0,30.0,Min,WR,14.0,228.89999,0.99000001,24.0,73.0,0.0,0.0,0.0,13.0,0.0,1.0,64.0,849.0,8.0,42.0,0.0,0.0,0.0,0.0,128.0,15.0,23,28,234.60001,122.3,23.9,275.89999,15.8,0.61891145,0,0,0,1,16.349999285714286,0.0
153,Tarik Cohen,Chi,16,306.07001,57.0,32.0,Chi,RB,16.0,245.87,0.82999998,103.0,51.0,21.0,1.0,0.0,370.0,2.0,17.0,53.0,353.0,1.0,9.0,855.0,1.0,0.0,2.0,,,28,13,175.7,111.8,16.5,319.10001,20.0,0.90289438,0,1,0,0,15.366875,0.0
154,Cam Newton,Car,14,310.60001,63.0,45.0,Car,QB,16.0,333.48001,0.99000001,43.0,9.0,3302.0,22.0,16.0,754.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,37.0,11,21,192.3,131.39999,22.700001,317.10001,20.4,0.69784951,1,0,0,0,20.842500625,35159696.0
155,Tyler Lockett,Sea,16,313.82999,159.0,19.0,Sea,WR,16.0,253.39999,0.25,130.0,45.0,0.0,0.0,0.0,58.0,0.0,4.0,45.0,555.0,2.0,23.0,1186.0,1.0,0.0,0.0,41.0,24.0,12,30,228.60001,101.8,22.9,323.20001,20.799999,0.78281254,0,0,0,1,15.837499375,0.0
157,Jared Goff,LAR,16,315.32001,90.0,25.0,LAR,QB,15.0,256.26001,0.91000003,101.0,44.0,3804.0,28.0,7.0,51.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,146.0,16.0,1,10,239.39999,122.1,29.9,339.60001,20.6,0.84981048,1,0,0,0,17.084000666666668,83505408.0
158,James White,NE,16,315.57001,188.0,3.0,NE,RB,14.0,156.7,0.2,201.0,168.0,0.0,0.0,0.0,171.0,0.0,6.0,56.0,429.0,3.0,25.0,0.0,0.0,0.0,0.0,216.0,1.0,3,11,276.10001,118.1,28.6,366.0,18.5,0.99975073,0,1,0,0,11.192857142857141,0.0
159,Mike Evans,TB,16,322.60001,65.0,33.0,TB,WR,15.0,234.73,1.0,17.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1001.0,5.0,55.0,0.0,0.0,1.0,0.0,59.0,48.0,31,22,272.89999,90.599998,20.9,378.10001,23.9,0.63069588,0,0,0,1,15.648666666666665,0.0
161,Travis Kelce,KC,16,338.07001,29.0,24.0,KC,TE,15.0,271.89999,1.0,20.0,31.0,0.0,0.0,1.0,7.0,0.0,2.0,83.0,1038.0,8.0,55.0,0.0,0.0,0.0,0.0,7.0,26.0,16,18,256.5,118.9,25.9,365.10001,21.200001,0.80781019,0,0,1,0,18.126666,0.0
162,Deshaun Watson,Hou,16,354.70001,8.0,41.0,Hou,QB,7.0,178.86,1.0,49.0,125.0,1699.0,19.0,8.0,269.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,103.0,16.0,27,32,204.89999,115.1,21.1,346.60001,27.299999,0.79706073,1,0,0,0,25.551428571428573,11653441.0
163,Michael Thomas,NO,16,361.67001,70.0,38.0,NO,WR,16.0,297.0,1.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1245.0,5.0,70.0,0.0,0.0,0.0,0.0,58.0,40.0,2,6,261.79999,129.39999,28.0,336.5,20.4,0.58241123,0,0,0,1,18.5625,0.0
164,Julio Jones,Atl,16,367.0,25.0,47.0,Atl,WR,16.0,277.76999,1.0,10.0,29.0,0.0,0.0,0.0,15.0,0.0,1.0,88.0,1444.0,3.0,67.0,0.0,0.0,0.0,0.0,8.0,50.0,24,3,249.39999,115.4,22.1,318.39999,19.700001,0.74225098,0,0,0,1,17.360624375,0.0
165,Antonio Brown,Oak,15,373.47,22.0,57.0,Pit,WR,14.0,354.29999,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1533.0,9.0,71.0,61.0,0.0,1.0,0.0,12.0,58.0,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.80698615,0,0,0,1,25.307142142857142,0.0
166,DeAndre Hopkins,Hou,16,384.10001,31.0,52.0,Hou,WR,15.0,358.87,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1378.0,13.0,69.0,0.0,0.0,0.0,1.0,119.0,30.0,27,32,204.89999,115.1,21.1,346.60001,27.299999,0.66739798,0,0,0,1,23.924666666666667,0.0
167,Ezekiel Elliott,Dal,15,400.20001,1.0,54.0,Dal,RB,10.0,245.23,1.0,5.0,52.0,0.0,0.0,0.0,983.0,7.0,55.0,26.0,269.0,2.0,6.0,0.0,0.0,0.0,1.0,19.0,36.0,8,2,196.3,135.60001,22.1,318.10001,20.799999,0.62915105,0,1,0,0,24.523,0.0
168,Alvin Kamara,NO,15,419.37,38.0,58.0,NO,RB,16.0,397.57001,1.0,8.0,3.0,0.0,0.0,0.0,728.0,8.0,40.0,81.0,826.0,5.0,38.0,347.0,1.0,1.0,1.0,214.0,1.0,2,6,261.79999,129.39999,28.0,336.5,20.4,0.53290236,0,1,0,0,24.848125625,0.0
169,Todd Gurley II,LAR,14,422.76999000000006,7.0,67.0,LAR,RB,15.0,441.03,1.0,1.0,1.0,0.0,0.0,0.0,1305.0,13.0,66.0,64.0,788.0,6.0,32.0,0.0,0.0,0.0,2.0,51.0,40.0,1,10,239.39999,122.1,29.9,339.60001,20.6,0.72759014,0,1,0,0,29.401999999999997,0.0
